"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","23.01","23.14","23.14","22.74","3.02M","-0.60%"
"Oct 22, 2019","23.15","23.13","23.30","23.00","2.17M","0.30%"
"Oct 21, 2019","23.08","23.13","23.30","22.97","8.73M","0.30%"
"Oct 18, 2019","23.01","23.51","23.51","23.01","3.49M","-2.00%"
"Oct 17, 2019","23.48","23.63","23.79","23.44","3.32M","-0.09%"
"Oct 16, 2019","23.50","23.49","23.52","23.36","5.75M","-0.38%"
"Oct 15, 2019","23.59","23.42","23.71","23.33","3.36M","0.77%"
"Oct 14, 2019","23.41","23.51","23.59","23.32","2.56M","-0.64%"
"Oct 11, 2019","23.56","23.65","23.93","23.52","6.39M","0.30%"
"Oct 10, 2019","23.49","23.47","23.68","23.37","2.44M","-0.13%"
"Oct 09, 2019","23.52","23.42","23.63","23.27","2.81M","1.25%"
"Oct 08, 2019","23.23","23.32","23.55","23.14","3.90M","-1.02%"
"Oct 07, 2019","23.47","23.47","23.74","23.27","3.18M","-0.04%"
"Oct 04, 2019","23.48","23.56","23.59","23.36","3.16M","-0.04%"
"Oct 03, 2019","23.49","23.33","23.57","23.17","5.71M","0.86%"
"Oct 02, 2019","23.29","23.01","23.36","23.00","3.93M","-0.94%"
"Oct 01, 2019","23.51","23.75","23.76","23.43","3.18M","-0.51%"
"Sep 30, 2019","23.63","23.52","23.74","23.46","3.73M","0.55%"
"Sep 27, 2019","23.50","23.75","23.75","23.32","2.30M","-1.01%"
"Sep 26, 2019","23.74","23.71","23.81","23.55","2.43M","-0.25%"
"Sep 25, 2019","23.80","23.34","23.89","23.33","6.89M","1.84%"
"Sep 24, 2019","23.37","23.87","23.90","23.36","5.10M","-1.64%"
"Sep 23, 2019","23.76","23.81","24.03","23.63","5.28M","-0.50%"
"Sep 20, 2019","23.88","23.98","24.08","23.79","16.04M","-0.42%"
"Sep 19, 2019","23.98","24.20","24.28","23.97","5.02M","-0.17%"
"Sep 18, 2019","24.02","24.35","24.37","23.91","5.11M","-1.68%"
"Sep 17, 2019","24.43","24.16","24.45","24.00","5.46M","0.70%"
"Sep 16, 2019","24.26","24.35","24.57","24.25","6.57M","-0.82%"
"Sep 13, 2019","24.46","24.50","24.52","24.07","6.28M","-0.33%"
"Sep 12, 2019","24.54","24.77","24.96","24.49","7.63M","-0.77%"
"Sep 11, 2019","24.73","24.46","24.81","24.28","6.08M","1.23%"
"Sep 10, 2019","24.43","24.31","24.61","24.25","5.35M","0.08%"
"Sep 09, 2019","24.41","24.67","24.77","24.13","6.91M","-0.45%"
"Sep 06, 2019","24.52","23.45","25.77","23.25","17.03M","4.47%"
"Sep 05, 2019","23.47","23.50","23.55","23.39","3.69M","0.69%"
"Sep 04, 2019","23.31","23.12","23.36","23.00","5.46M","1.39%"
"Sep 03, 2019","22.99","23.14","23.45","22.95","4.97M","-1.12%"
"Aug 30, 2019","23.25","23.43","23.48","23.17","3.48M","0.17%"
"Aug 29, 2019","23.21","23.24","23.31","23.07","4.10M","1.13%"
"Aug 28, 2019","22.95","22.99","23.06","22.54","6.66M","-0.52%"
"Aug 27, 2019","23.07","23.49","23.49","23.05","4.65M","-1.07%"
"Aug 26, 2019","23.32","23.50","23.50","23.19","3.67M","0.43%"
"Aug 23, 2019","23.22","23.41","23.55","23.12","9.10M","-1.32%"
"Aug 22, 2019","23.53","23.71","23.77","23.39","4.72M","-0.76%"
"Aug 21, 2019","23.71","23.88","23.93","23.57","4.41M","-0.21%"
"Aug 20, 2019","23.76","23.79","23.80","23.53","5.36M","-0.38%"
"Aug 19, 2019","23.85","23.65","23.89","23.62","9.83M","1.45%"
"Aug 16, 2019","23.51","23.35","23.53","23.20","10.59M","1.60%"
"Aug 15, 2019","23.14","23.05","23.30","22.82","9.55M","0.39%"
"Aug 14, 2019","23.05","22.72","23.15","22.66","11.22M","-0.30%"
"Aug 13, 2019","23.12","21.56","23.16","21.56","18.87M","6.69%"
"Aug 12, 2019","21.67","22.75","22.79","21.45","16.06M","-5.74%"
"Aug 09, 2019","22.99","22.97","23.05","22.05","29.21M","0.31%"
"Aug 08, 2019","22.92","22.88","23.02","22.14","16.36M","12.30%"
"Aug 07, 2019","20.41","20.28","20.52","20.01","6.54M","-0.24%"
"Aug 06, 2019","20.46","20.44","20.67","20.09","5.35M","0.59%"
"Aug 05, 2019","20.34","21.00","21.04","20.24","8.55M","-3.83%"
"Aug 02, 2019","21.15","21.42","21.51","21.09","3.96M","-1.81%"
"Aug 01, 2019","21.54","21.57","21.98","21.40","5.03M","-0.09%"
"Jul 31, 2019","21.56","21.93","21.95","21.27","4.80M","-1.69%"
"Jul 30, 2019","21.93","22.00","22.13","21.89","4.64M","-0.77%"
"Jul 29, 2019","22.10","22.65","22.66","21.90","6.27M","-2.77%"
"Jul 26, 2019","22.73","22.53","22.90","22.44","4.31M","1.11%"
"Jul 25, 2019","22.48","22.66","22.72","22.41","3.85M","-0.93%"
"Jul 24, 2019","22.69","22.77","22.87","22.66","3.70M","-0.53%"
"Jul 23, 2019","22.81","22.75","22.88","22.42","6.37M","0.44%"
"Jul 22, 2019","22.71","22.25","23.00","22.05","9.25M","1.98%"
"Jul 19, 2019","22.27","23.14","23.27","22.19","11.70M","-3.17%"
"Jul 18, 2019","23.00","22.62","23.08","22.56","6.76M","1.41%"
"Jul 17, 2019","22.68","23.60","23.63","22.66","8.57M","-3.78%"
"Jul 16, 2019","23.57","22.66","23.65","22.50","10.92M","3.20%"
"Jul 15, 2019","22.84","22.00","22.84","21.56","44.45M","-10.68%"
"Jul 12, 2019","25.57","25.52","25.64","25.45","13.34M","0.51%"
"Jul 11, 2019","25.44","25.83","25.87","25.38","8.26M","-1.40%"
"Jul 10, 2019","25.80","25.55","26.00","25.44","16.94M","0.94%"
"Jul 09, 2019","25.56","25.59","25.75","25.49","12.78M","-0.20%"
"Jul 08, 2019","25.61","25.93","26.07","25.54","20.05M","2.44%"
"Jul 05, 2019","25.00","24.90","25.10","24.88","12.12M","-0.40%"
"Jul 03, 2019","25.10","25.48","25.54","24.95","40.30M","13.57%"
"Jul 02, 2019","22.10","22.05","22.30","21.94","5.97M","0.18%"
"Jul 01, 2019","22.06","22.10","22.30","21.88","4.41M","1.38%"
"Jun 28, 2019","21.76","21.15","21.82","21.15","9.06M","3.18%"
"Jun 27, 2019","21.09","20.89","21.28","20.73","4.61M","1.10%"
"Jun 26, 2019","20.86","20.90","21.10","20.79","4.56M","0.29%"
"Jun 25, 2019","20.80","21.02","21.14","20.77","5.92M","-0.86%"
"Jun 24, 2019","20.98","20.84","21.22","20.73","6.21M","0.67%"
"Jun 21, 2019","20.84","20.52","20.94","20.37","12.19M","1.36%"
"Jun 20, 2019","20.56","20.41","20.65","20.25","8.23M","2.03%"
"Jun 19, 2019","20.15","19.99","20.20","19.89","5.19M","0.90%"
"Jun 18, 2019","19.97","20.00","20.16","19.80","5.72M","1.06%"
"Jun 17, 2019","19.76","19.82","20.09","19.69","8.95M","2.07%"
"Jun 14, 2019","19.36","19.56","19.56","19.11","5.29M","-1.12%"
"Jun 13, 2019","19.58","19.33","19.61","19.19","8.00M","2.03%"
"Jun 12, 2019","19.19","18.71","19.22","18.54","7.82M","1.80%"
"Jun 11, 2019","18.85","18.19","18.89","18.06","11.12M","-1.87%"
"Jun 10, 2019","19.21","19.21","19.61","19.10","7.04M","0.31%"
"Jun 07, 2019","19.15","18.93","19.23","18.80","9.10M","1.06%"
"Jun 06, 2019","18.95","19.09","19.13","18.89","8.50M","-0.68%"
"Jun 05, 2019","19.08","19.00","19.12","18.77","5.18M","1.11%"
"Jun 04, 2019","18.87","18.13","18.89","18.01","9.08M","4.95%"
"Jun 03, 2019","17.98","18.65","18.65","17.50","10.09M","-4.00%"
"May 31, 2019","18.73","18.72","18.91","18.54","6.12M","-0.79%"
"May 30, 2019","18.88","19.04","19.07","18.74","5.02M","-0.68%"
"May 29, 2019","19.01","19.31","19.32","18.94","5.72M","-2.31%"
