"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","122.68","122.15","123.86","121.46","912.24K","0.57%"
"Oct 22, 2019","121.99","123.87","124.43","121.77","1.17M","-0.90%"
"Oct 21, 2019","123.10","123.17","123.88","121.47","882.49K","0.30%"
"Oct 18, 2019","122.73","122.83","123.18","120.95","901.69K","-0.01%"
"Oct 17, 2019","122.74","122.31","123.92","121.88","763.91K","1.31%"
"Oct 16, 2019","121.15","123.17","123.95","120.25","1.31M","-2.25%"
"Oct 15, 2019","123.94","121.95","124.09","121.70","1.04M","2.29%"
"Oct 14, 2019","121.16","122.36","122.51","121.01","926.87K","-1.03%"
"Oct 11, 2019","122.42","123.40","124.34","122.28","1.19M","0.02%"
"Oct 10, 2019","122.40","121.31","122.53","120.29","1.27M","0.43%"
"Oct 09, 2019","121.87","120.93","122.85","120.04","1.33M","2.03%"
"Oct 08, 2019","119.45","119.85","120.81","117.27","1.83M","-2.88%"
"Oct 07, 2019","122.99","122.98","123.76","121.66","768.29K","-0.28%"
"Oct 04, 2019","123.33","120.40","123.78","117.40","2.20M","2.35%"
"Oct 03, 2019","120.50","119.67","121.01","118.03","1.27M","0.70%"
"Oct 02, 2019","119.66","122.27","122.27","118.04","2.15M","-2.64%"
"Oct 01, 2019","122.91","125.20","125.98","122.44","1.51M","-1.94%"
"Sep 30, 2019","125.34","123.96","125.90","122.82","829.17K","1.11%"
"Sep 27, 2019","123.97","127.09","127.42","122.62","926.91K","-2.21%"
"Sep 26, 2019","126.77","127.15","128.56","126.54","696.93K","-0.37%"
"Sep 25, 2019","127.24","124.01","127.68","123.78","1.14M","1.73%"
"Sep 24, 2019","125.08","126.12","126.70","124.14","1.41M","-0.52%"
"Sep 23, 2019","125.73","129.21","129.80","125.50","1.93M","-3.70%"
"Sep 20, 2019","130.56","131.57","132.00","129.37","1.18M","-0.02%"
"Sep 19, 2019","130.59","129.56","132.35","129.26","1.12M","0.64%"
"Sep 18, 2019","129.76","130.72","131.36","126.97","1.06M","-0.88%"
"Sep 17, 2019","130.91","128.71","131.01","127.20","1.35M","1.77%"
"Sep 16, 2019","128.63","124.20","129.58","123.85","1.24M","2.82%"
"Sep 13, 2019","125.10","126.55","127.40","125.01","1.92M","-0.90%"
"Sep 12, 2019","126.24","124.37","127.80","124.37","2.77M","2.95%"
"Sep 11, 2019","122.62","128.62","128.79","121.88","3.30M","-4.50%"
"Sep 10, 2019","128.40","130.98","132.26","126.86","1.86M","-2.85%"
"Sep 09, 2019","132.17","130.82","133.42","129.78","1.40M","1.08%"
"Sep 06, 2019","130.76","132.04","132.13","130.66","843.36K","-0.45%"
"Sep 05, 2019","131.35","134.30","134.74","129.94","1.17M","-1.05%"
"Sep 04, 2019","132.74","133.20","134.00","132.28","1.10M","0.82%"
"Sep 03, 2019","131.66","130.96","132.68","130.74","1.55M","-0.23%"
"Aug 30, 2019","131.97","133.40","134.41","130.65","1.12M","-0.32%"
"Aug 29, 2019","132.40","132.95","133.46","131.43","894.26K","0.90%"
