"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","118.95","116.96","121.61","115.88","18.57M","-7.48%"
"Oct 22, 2019","128.57","130.27","131.10","128.23","5.90M","-1.80%"
"Oct 21, 2019","130.93","130.74","131.02","129.65","3.46M","1.14%"
"Oct 18, 2019","129.46","129.79","130.42","128.55","4.13M","-0.51%"
"Oct 17, 2019","130.13","130.90","131.39","128.81","3.00M","0.49%"
"Oct 16, 2019","129.50","130.83","131.45","129.19","4.59M","-1.66%"
"Oct 15, 2019","131.69","130.28","132.20","129.79","3.04M","1.50%"
"Oct 14, 2019","129.75","129.58","129.94","129.07","2.29M","-0.26%"
"Oct 11, 2019","130.09","130.10","131.76","129.56","4.74M","1.85%"
"Oct 10, 2019","127.73","127.86","129.37","127.10","4.16M","0.23%"
"Oct 09, 2019","127.44","126.75","128.18","126.32","2.93M","1.97%"
"Oct 08, 2019","124.98","127.42","127.87","123.63","4.89M","-3.00%"
"Oct 07, 2019","128.85","130.04","130.49","128.74","2.59M","-0.99%"
"Oct 04, 2019","130.14","129.31","130.31","128.99","3.94M","1.12%"
"Oct 03, 2019","128.70","127.27","129.25","125.86","5.41M","1.47%"
"Oct 02, 2019","126.84","127.26","127.78","126.22","5.38M","-1.36%"
"Oct 01, 2019","128.59","130.00","131.80","127.59","5.13M","-0.50%"
"Sep 30, 2019","129.24","127.69","129.40","127.57","4.33M","1.65%"
"Sep 27, 2019","127.14","129.52","129.64","125.86","5.26M","-0.76%"
"Sep 26, 2019","128.11","128.28","128.67","126.64","3.54M","0.29%"
"Sep 25, 2019","127.74","125.30","128.33","124.53","3.39M","1.53%"
"Sep 24, 2019","125.81","128.77","128.81","124.90","4.75M","-1.53%"
"Sep 23, 2019","127.77","126.67","128.35","126.31","4.97M","0.87%"
"Sep 20, 2019","126.67","128.30","128.75","126.22","7.62M","-1.68%"
"Sep 19, 2019","128.83","129.50","130.26","128.50","2.68M","-0.37%"
"Sep 18, 2019","129.31","129.56","129.56","127.20","2.41M","-0.19%"
"Sep 17, 2019","129.56","128.30","129.70","127.62","2.83M","0.93%"
"Sep 16, 2019","128.36","128.76","129.48","128.09","3.07M","-0.96%"
"Sep 13, 2019","129.61","130.47","130.89","129.56","3.11M","-0.47%"
