"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","89.90","89.65","90.16","88.98","1.64M","0.21%"
"Oct 22, 2019","89.71","90.68","91.05","89.62","2.03M","-1.18%"
"Oct 21, 2019","90.78","90.49","91.50","90.49","2.07M","0.78%"
"Oct 18, 2019","90.08","89.43","90.75","89.33","2.72M","0.69%"
"Oct 17, 2019","89.46","90.20","90.41","88.93","2.49M","-0.27%"
"Oct 16, 2019","89.70","89.35","90.84","88.22","6.81M","2.07%"
"Oct 15, 2019","87.88","87.28","88.66","86.68","4.75M","1.05%"
"Oct 14, 2019","86.97","87.11","87.15","86.24","3.46M","-0.21%"
"Oct 11, 2019","87.15","88.52","89.13","87.12","2.46M","-0.22%"
"Oct 10, 2019","87.34","85.39","87.76","84.73","2.83M","1.02%"
"Oct 09, 2019","86.46","85.74","87.51","85.73","3.16M","2.09%"
"Oct 08, 2019","84.69","84.25","86.12","83.90","2.58M","-0.19%"
"Oct 07, 2019","84.85","83.61","85.26","83.61","2.12M","0.66%"
"Oct 04, 2019","84.29","83.53","84.47","83.12","1.96M","1.22%"
"Oct 03, 2019","83.27","83.61","83.61","80.87","2.77M","-0.50%"
"Oct 02, 2019","83.69","86.00","86.85","82.06","4.35M","-4.72%"
"Oct 01, 2019","87.84","89.15","90.19","87.23","2.43M","-0.64%"
"Sep 30, 2019","88.41","88.40","88.98","87.91","1.96M","0.31%"
"Sep 27, 2019","88.14","88.85","90.30","87.82","1.67M","-0.35%"
"Sep 26, 2019","88.45","89.38","89.55","87.77","1.31M","-0.81%"
"Sep 25, 2019","89.17","88.24","89.88","88.24","1.74M","0.99%"
"Sep 24, 2019","88.30","88.97","89.20","87.51","1.56M","0.10%"
"Sep 23, 2019","88.21","88.62","88.88","87.42","3.18M","-0.99%"
"Sep 20, 2019","89.09","89.47","90.05","88.92","2.76M","-0.37%"
"Sep 19, 2019","89.42","90.35","90.62","89.18","2.37M","-0.90%"
"Sep 18, 2019","90.23","89.70","90.29","88.94","2.17M","0.28%"
"Sep 17, 2019","89.98","89.38","91.26","88.79","3.64M","1.37%"
"Sep 16, 2019","88.76","88.30","90.13","88.17","3.44M","-2.84%"
"Sep 13, 2019","91.35","90.41","91.84","89.75","3.00M","2.20%"
"Sep 12, 2019","89.38","88.68","89.83","88.55","2.72M","1.13%"
"Sep 11, 2019","88.38","87.62","88.87","87.17","2.43M","0.94%"
"Sep 10, 2019","87.56","87.20","87.78","86.61","1.71M","0.26%"
"Sep 09, 2019","87.33","86.49","87.73","85.91","2.12M","1.19%"
"Sep 06, 2019","86.30","86.37","87.44","86.20","2.35M","0.54%"
"Sep 05, 2019","85.84","84.69","86.87","84.69","2.97M","2.30%"
"Sep 04, 2019","83.91","83.00","84.86","83.00","2.74M","0.91%"
"Sep 03, 2019","83.15","83.64","83.76","82.25","2.35M","-1.38%"
"Aug 30, 2019","84.31","85.20","85.68","84.09","1.93M","-0.45%"
"Aug 29, 2019","84.69","83.23","85.13","83.23","4.09M","2.72%"
"Aug 28, 2019","82.45","81.52","82.99","81.17","2.30M","0.62%"
"Aug 27, 2019","81.94","84.28","84.70","81.75","2.21M","-1.96%"
"Aug 26, 2019","83.58","83.42","83.63","82.45","1.85M","1.27%"
"Aug 23, 2019","82.53","85.06","85.65","82.22","3.67M","-3.54%"
"Aug 22, 2019","85.56","85.30","85.87","84.69","1.31M","0.32%"
"Aug 21, 2019","85.29","84.67","85.67","84.63","1.67M","1.50%"
"Aug 20, 2019","84.03","83.65","84.43","83.21","1.50M","0.17%"
"Aug 19, 2019","83.89","84.02","84.93","83.81","2.27M","1.15%"
"Aug 16, 2019","82.94","82.25","83.31","81.84","2.29M","1.62%"
"Aug 15, 2019","81.62","82.04","82.23","80.83","3.24M","-0.40%"
