"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","237.87","236.86","238.24","231.15","956.90K","0.41%"
"Oct 22, 2019","236.91","236.97","240.22","236.40","1.00M","0.68%"
"Oct 21, 2019","235.30","241.04","241.04","235.25","1.68M","-1.93%"
"Oct 18, 2019","239.92","246.84","246.95","239.88","1.33M","-3.30%"
"Oct 17, 2019","248.10","245.34","251.65","245.34","1.15M","1.27%"
"Oct 16, 2019","244.98","246.02","247.62","243.68","723.06K","-0.17%"
"Oct 15, 2019","245.40","245.78","249.17","244.25","724.07K","-0.47%"
"Oct 14, 2019","246.57","247.07","249.39","245.80","768.29K","-0.76%"
"Oct 11, 2019","248.46","245.41","249.55","244.12","1.25M","2.78%"
"Oct 10, 2019","241.75","237.65","242.30","237.02","1.14M","1.56%"
"Oct 09, 2019","238.04","238.14","240.67","235.67","1.49M","0.43%"
"Oct 08, 2019","237.03","240.06","240.99","235.20","3.53M","-2.36%"
"Oct 07, 2019","242.75","250.25","250.98","242.32","2.31M","-3.13%"
"Oct 04, 2019","250.60","257.71","258.09","250.26","1.72M","-2.65%"
"Oct 03, 2019","257.43","263.37","265.21","250.65","2.26M","-2.04%"
"Oct 02, 2019","262.79","263.31","264.00","256.89","2.50M","-1.20%"
"Oct 01, 2019","265.99","253.45","267.25","253.01","4.33M","6.12%"
"Sep 30, 2019","250.65","245.58","251.76","245.00","2.34M","2.56%"
"Sep 27, 2019","244.40","238.14","246.46","237.40","2.11M","3.42%"
"Sep 26, 2019","236.31","236.40","238.53","234.75","1.19M","0.33%"
"Sep 25, 2019","235.54","238.75","239.43","233.28","1.42M","-1.65%"
"Sep 24, 2019","239.48","237.89","241.30","235.29","2.33M","0.91%"
"Sep 23, 2019","237.31","229.55","239.92","229.27","2.38M","3.74%"
"Sep 20, 2019","228.75","229.79","232.26","227.65","2.01M","-0.57%"
"Sep 19, 2019","230.07","229.60","232.70","228.61","1.11M","0.32%"
"Sep 18, 2019","229.34","233.74","233.74","227.38","1.69M","-1.93%"
"Sep 17, 2019","233.85","225.69","235.09","225.15","2.22M","3.73%"
"Sep 16, 2019","225.45","226.26","230.12","224.66","1.36M","-0.62%"
"Sep 13, 2019","226.86","227.60","227.95","225.53","1.13M","0.31%"
"Sep 12, 2019","226.16","229.06","229.36","225.12","1.87M","-0.87%"
"Sep 11, 2019","228.15","231.68","233.88","227.26","1.50M","-1.41%"
"Sep 10, 2019","231.42","225.50","233.17","225.28","2.24M","2.33%"
"Sep 09, 2019","226.16","233.74","234.17","226.03","2.18M","-2.98%"
"Sep 06, 2019","233.10","237.84","239.24","233.03","2.03M","-1.53%"
"Sep 05, 2019","236.71","229.03","237.85","227.71","3.26M","3.48%"
"Sep 04, 2019","228.76","238.00","239.86","228.20","4.03M","-3.64%"
"Sep 03, 2019","237.41","234.05","244.21","231.02","5.44M","-0.13%"
"Aug 30, 2019","237.73","252.81","254.50","235.76","16.12M","-29.55%"
"Aug 29, 2019","337.45","337.50","342.00","333.09","3.17M","2.14%"
"Aug 28, 2019","330.38","323.77","331.45","321.16","754.17K","2.04%"
"Aug 27, 2019","323.77","333.16","334.80","323.60","1.00M","-1.95%"
"Aug 26, 2019","330.22","327.00","331.99","324.54","1.01M","2.52%"
"Aug 23, 2019","322.10","330.64","332.37","321.24","1.10M","-3.81%"
"Aug 22, 2019","334.87","328.54","338.50","328.54","755.99K","2.06%"
"Aug 21, 2019","328.12","327.24","331.49","326.81","521.11K","1.56%"
"Aug 20, 2019","323.08","325.17","328.28","320.51","475.82K","-0.67%"
"Aug 19, 2019","325.25","327.43","328.76","322.45","812.59K","1.00%"
"Aug 16, 2019","322.03","323.52","327.89","319.26","573.55K","0.50%"
"Aug 15, 2019","320.44","320.74","324.87","315.49","990.47K","-0.17%"
"Aug 14, 2019","321.00","330.06","332.20","320.17","1.25M","-5.92%"
"Aug 13, 2019","341.20","334.31","348.31","333.33","576.81K","1.39%"
"Aug 12, 2019","336.51","345.91","345.91","332.68","759.23K","-2.94%"
"Aug 09, 2019","346.70","351.49","353.40","345.00","522.71K","-1.80%"
"Aug 08, 2019","353.04","345.18","355.36","344.76","588.16K","2.72%"
"Aug 07, 2019","343.68","337.22","344.36","336.70","756.09K","1.00%"
"Aug 06, 2019","340.28","330.37","340.95","329.00","688.20K","3.07%"
"Aug 05, 2019","330.14","331.98","331.98","326.34","728.40K","-2.04%"
"Aug 02, 2019","337.02","346.24","348.57","334.16","811.06K","-2.46%"
"Aug 01, 2019","345.51","348.73","352.08","341.89","683.86K","-1.07%"
"Jul 31, 2019","349.25","347.62","354.00","344.37","521.28K","0.18%"
"Jul 30, 2019","348.63","345.03","350.45","342.15","579.73K","0.72%"
"Jul 29, 2019","346.13","352.67","353.19","341.40","815.67K","-2.19%"
"Jul 26, 2019","353.88","355.72","356.05","349.56","497.65K","-0.21%"
"Jul 25, 2019","354.62","353.73","359.74","352.00","486.88K","0.48%"
"Jul 24, 2019","352.94","351.99","353.17","348.75","532.15K","0.27%"
"Jul 23, 2019","351.99","354.00","354.11","349.98","648.40K","-0.27%"
"Jul 22, 2019","352.95","357.79","359.80","351.09","550.26K","-1.13%"
"Jul 19, 2019","357.00","365.19","367.01","356.45","574.63K","-2.51%"
"Jul 18, 2019","366.21","363.55","368.72","363.55","518.66K","-0.05%"
"Jul 17, 2019","366.39","361.52","368.83","361.52","713.72K","1.62%"
"Jul 16, 2019","360.54","356.57","361.85","355.61","1.41M","1.37%"
"Jul 15, 2019","355.68","356.97","361.27","354.30","741.66K","-0.20%"
"Jul 12, 2019","356.39","348.00","357.27","347.27","651.43K","2.71%"
"Jul 11, 2019","346.98","348.00","349.95","346.15","537.16K","-0.06%"
"Jul 10, 2019","347.20","349.38","349.91","342.78","595.66K","-0.37%"
"Jul 09, 2019","348.48","351.20","353.19","347.00","729.06K","-1.19%"
"Jul 08, 2019","352.69","343.61","353.08","343.61","623.01K","2.24%"
"Jul 05, 2019","344.95","343.33","348.49","343.33","481.44K","-0.14%"
"Jul 03, 2019","345.43","343.65","346.00","341.21","330.03K","1.20%"
"Jul 02, 2019","341.33","340.76","345.78","338.25","590.56K","0.28%"
"Jul 01, 2019","340.38","350.55","353.76","339.88","794.02K","-1.88%"
"Jun 28, 2019","346.89","345.94","347.38","343.89","784.35K","0.78%"
"Jun 27, 2019","344.22","346.50","347.43","339.53","619.54K","-0.17%"
"Jun 26, 2019","344.82","350.58","352.65","344.27","561.80K","-1.11%"
"Jun 25, 2019","348.69","345.00","348.92","340.87","640.66K","0.62%"
"Jun 24, 2019","346.54","357.73","358.69","340.26","1.68M","-2.61%"
"Jun 21, 2019","355.81","359.28","360.47","355.28","730.42K","-0.71%"
"Jun 20, 2019","358.34","360.42","365.54","355.17","743.50K","0.14%"
"Jun 19, 2019","357.84","346.77","358.43","343.63","564.87K","3.06%"
"Jun 18, 2019","347.21","352.58","354.09","345.90","617.83K","-0.85%"
"Jun 17, 2019","350.19","355.61","357.54","349.56","605.42K","-1.25%"
"Jun 14, 2019","354.62","349.34","355.61","349.03","905.08K","1.38%"
"Jun 13, 2019","349.81","344.62","350.20","343.62","732.35K","2.04%"
"Jun 12, 2019","342.82","341.88","343.88","339.14","480.84K","0.83%"
"Jun 11, 2019","340.01","341.22","341.89","334.56","431.00K","0.88%"
"Jun 10, 2019","337.05","339.11","344.49","335.63","561.59K","-0.33%"
"Jun 07, 2019","338.16","340.69","343.96","337.68","567.32K","-0.64%"
"Jun 06, 2019","340.33","339.85","341.96","336.38","590.75K","0.84%"
"Jun 05, 2019","337.48","338.01","338.64","331.26","577.24K","0.58%"
"Jun 04, 2019","335.53","332.30","340.55","331.60","773.62K","1.49%"
"Jun 03, 2019","330.60","333.89","337.36","327.85","1.02M","-0.83%"
"May 31, 2019","333.38","315.33","335.13","304.04","3.20M","1.50%"
"May 30, 2019","328.46","327.64","334.03","321.18","1.32M","1.98%"
"May 29, 2019","322.07","332.37","334.59","321.82","1.03M","-3.82%"
"May 28, 2019","334.85","336.22","338.50","333.01","1.03M","-0.07%"
"May 24, 2019","335.09","338.81","340.84","330.43","615.11K","-0.81%"
"May 23, 2019","337.83","347.03","347.14","336.07","1.03M","-3.23%"
"May 22, 2019","349.09","351.80","354.62","348.89","466.35K","-1.15%"
"May 21, 2019","353.16","348.61","354.54","347.90","545.64K","1.51%"
"May 20, 2019","347.89","340.50","348.31","339.03","829.22K","1.59%"
"May 17, 2019","342.45","342.59","349.56","342.10","573.39K","-0.23%"
"May 16, 2019","343.24","341.31","348.46","341.31","512.09K","0.75%"
"May 15, 2019","340.70","335.06","340.95","333.47","677.93K","1.60%"
"May 14, 2019","335.32","332.56","336.80","325.62","949.19K","1.54%"
"May 13, 2019","330.23","337.21","338.98","328.34","813.47K","-3.79%"
"May 10, 2019","343.24","347.01","347.01","337.01","685.58K","-1.38%"
"May 09, 2019","348.05","344.52","349.13","343.28","460.60K","-0.03%"
"May 08, 2019","348.15","341.82","350.55","340.03","577.40K","1.69%"
"May 07, 2019","342.36","344.29","347.31","338.89","698.07K","-1.25%"
"May 06, 2019","346.68","336.53","347.61","335.78","712.07K","1.38%"
"May 03, 2019","341.96","344.27","346.12","339.98","728.59K","-0.50%"
"May 02, 2019","343.68","335.01","344.11","335.01","875.37K","2.61%"
"May 01, 2019","334.94","347.81","348.33","334.65","1.15M","-4.02%"
"Apr 30, 2019","348.98","351.12","352.16","346.99","736.65K","-0.55%"
"Apr 29, 2019","350.90","356.97","357.89","350.65","578.95K","-1.97%"
"Apr 26, 2019","357.94","356.86","358.44","350.01","572.03K","1.20%"
"Apr 25, 2019","353.70","355.32","355.34","348.54","397.59K","-0.60%"
"Apr 24, 2019","355.84","351.33","357.91","351.33","444.36K","1.20%"
"Apr 23, 2019","351.63","347.72","355.86","347.49","556.52K","1.21%"
"Apr 22, 2019","347.41","350.33","351.47","344.26","525.82K","-0.99%"
"Apr 18, 2019","350.88","356.63","359.10","350.25","568.16K","-0.97%"
"Apr 17, 2019","354.33","355.08","359.69","353.93","525.39K","-0.21%"
"Apr 16, 2019","355.08","354.78","356.80","349.45","682.24K","0.32%"
"Apr 15, 2019","353.94","346.76","354.67","345.99","678.85K","2.64%"
"Apr 12, 2019","344.83","350.65","351.88","344.27","559.60K","-1.54%"
"Apr 11, 2019","350.22","350.88","351.87","348.00","708.75K","-0.02%"
"Apr 10, 2019","350.28","349.76","350.85","345.38","532.42K","0.60%"
"Apr 09, 2019","348.20","352.36","355.28","347.30","551.71K","-1.77%"
"Apr 08, 2019","354.47","353.56","355.73","351.29","439.66K","0.24%"
"Apr 05, 2019","353.63","351.73","354.18","348.74","590.45K","1.00%"
"Apr 04, 2019","350.14","350.53","352.50","347.75","397.21K","-0.11%"
"Apr 03, 2019","350.53","349.47","354.44","347.63","507.66K","0.93%"
"Apr 02, 2019","347.30","353.37","354.09","346.59","514.41K","-1.49%"
"Apr 01, 2019","352.55","351.50","353.77","350.74","582.32K","1.10%"
"Mar 29, 2019","348.73","347.60","350.00","344.95","526.48K","1.01%"
"Mar 28, 2019","345.23","347.89","351.43","343.30","667.50K","-0.24%"
"Mar 27, 2019","346.05","343.70","348.40","343.34","724.65K","0.92%"
"Mar 26, 2019","342.90","339.62","345.63","337.45","847.94K","1.85%"
"Mar 25, 2019","336.67","330.88","338.25","330.88","811.86K","1.86%"
"Mar 22, 2019","330.52","334.18","336.07","328.63","695.03K","-1.38%"
"Mar 21, 2019","335.13","329.22","336.55","328.83","759.10K","1.31%"
"Mar 20, 2019","330.79","335.00","337.50","330.51","934.11K","-1.09%"
"Mar 19, 2019","334.45","342.97","343.92","331.32","1.46M","-2.27%"
"Mar 18, 2019","342.22","338.60","344.53","336.87","949.81K","1.13%"
"Mar 15, 2019","338.41","327.97","345.24","327.00","3.88M","8.29%"
"Mar 14, 2019","312.51","315.73","315.73","311.61","1.27M","-0.93%"
"Mar 13, 2019","315.44","312.05","316.98","311.06","796.76K","1.29%"
"Mar 12, 2019","311.41","310.69","312.00","304.32","779.27K","0.54%"
"Mar 11, 2019","309.75","308.00","310.34","306.56","905.97K","1.10%"
"Mar 08, 2019","306.39","302.87","306.99","294.00","863.98K","0.31%"
"Mar 07, 2019","305.45","312.01","312.20","304.48","877.90K","-2.26%"
"Mar 06, 2019","312.51","312.11","313.21","308.98","711.47K","0.09%"
"Mar 05, 2019","312.24","312.98","314.30","310.30","963.21K","0.24%"
"Mar 04, 2019","311.50","316.97","317.78","308.03","832.67K","-1.21%"
"Mar 01, 2019","315.30","315.61","318.78","313.82","553.99K","0.90%"
"Feb 28, 2019","312.49","306.02","315.16","304.30","756.35K","1.75%"
"Feb 27, 2019","307.11","307.48","309.47","305.12","642.92K","-0.93%"
"Feb 26, 2019","310.00","308.65","311.02","308.18","508.32K","0.31%"
"Feb 25, 2019","309.05","311.54","313.63","308.03","546.26K","-0.54%"
"Feb 22, 2019","310.72","309.63","310.93","308.00","580.75K","0.88%"
"Feb 21, 2019","308.02","306.28","309.70","304.12","671.53K","0.56%"
"Feb 20, 2019","306.31","304.63","307.50","303.01","526.97K","0.54%"
"Feb 19, 2019","304.65","304.10","305.82","299.76","1.04M","-0.56%"
"Feb 15, 2019","306.36","307.42","308.52","305.44","565.58K","0.45%"
"Feb 14, 2019","305.00","302.68","307.59","300.92","1.26M","0.35%"
"Feb 13, 2019","303.95","304.16","304.83","299.72","622.06K","0.48%"
"Feb 12, 2019","302.50","301.23","305.00","300.73","535.29K","1.48%"
"Feb 11, 2019","298.10","296.25","302.33","296.25","668.16K","0.69%"
"Feb 08, 2019","296.06","291.58","296.48","289.25","782.01K","0.82%"
"Feb 07, 2019","293.64","291.18","294.57","288.09","463.68K","0.06%"
"Feb 06, 2019","293.45","293.57","295.95","288.05","506.79K","-0.20%"
"Feb 05, 2019","294.04","290.50","296.56","288.68","998.88K","1.73%"
"Feb 04, 2019","289.04","289.76","289.76","282.90","765.14K","-0.80%"
"Feb 01, 2019","291.36","292.38","293.39","288.01","519.46K","-0.19%"
"Jan 31, 2019","291.92","288.66","294.07","286.04","491.93K","1.15%"
"Jan 30, 2019","288.60","290.28","290.99","286.40","539.04K","-0.08%"
"Jan 29, 2019","288.82","290.37","290.40","286.13","516.94K","-0.50%"
"Jan 28, 2019","290.28","291.00","291.50","286.33","554.79K","-0.15%"
"Jan 25, 2019","290.72","291.10","293.66","287.63","570.71K","0.95%"
