"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","148.63","150.99","151.54","147.71","1.55M","-1.58%"
"Oct 22, 2019","151.02","157.80","157.80","151.00","830.98K","-1.60%"
"Oct 21, 2019","153.47","155.14","155.38","152.49","681.53K","-0.62%"
"Oct 18, 2019","154.42","154.19","155.04","153.91","954.50K","-0.52%"
"Oct 17, 2019","155.22","156.50","156.50","154.89","884.95K","-0.24%"
"Oct 16, 2019","155.59","155.42","155.65","152.95","988.79K","-0.31%"
"Oct 15, 2019","156.08","156.00","156.72","155.38","700.06K","0.45%"
"Oct 14, 2019","155.38","157.44","158.40","155.26","504.41K","-1.10%"
"Oct 11, 2019","157.11","158.88","159.57","156.99","690.38K","-0.48%"
"Oct 10, 2019","157.86","156.81","158.51","156.13","487.30K","0.49%"
"Oct 09, 2019","157.09","155.95","157.97","155.47","488.98K","1.41%"
"Oct 08, 2019","154.90","156.43","156.92","154.79","427.75K","-1.44%"
"Oct 07, 2019","157.17","157.55","157.83","156.30","374.51K","-0.23%"
"Oct 04, 2019","157.53","154.73","158.00","154.62","647.48K","2.09%"
"Oct 03, 2019","154.30","153.64","154.40","151.88","853.76K","0.63%"
"Oct 02, 2019","153.33","155.25","155.94","152.72","824.34K","-1.99%"
"Oct 01, 2019","156.45","158.33","158.62","156.30","600.25K","-1.07%"
"Sep 30, 2019","158.14","155.59","158.74","155.18","960.36K","1.64%"
"Sep 27, 2019","155.59","159.89","160.56","154.40","860.87K","-2.32%"
"Sep 26, 2019","159.29","158.06","160.09","157.42","623.34K","0.94%"
"Sep 25, 2019","157.80","157.96","158.06","156.26","647.21K","0.21%"
"Sep 24, 2019","157.47","158.04","160.28","156.77","670.27K","0.10%"
"Sep 23, 2019","157.32","158.78","158.97","157.00","563.33K","-0.69%"
"Sep 20, 2019","158.42","158.24","159.14","157.53","999.76K","-0.18%"
"Sep 19, 2019","158.70","158.93","159.94","158.45","428.12K","-0.40%"
"Sep 18, 2019","159.33","158.13","159.50","157.05","631.81K","0.43%"
"Sep 17, 2019","158.65","157.56","158.92","156.52","749.03K","1.36%"
"Sep 16, 2019","156.52","154.88","157.06","153.52","642.83K","0.49%"
"Sep 13, 2019","155.76","157.13","158.15","155.30","1.00M","-1.06%"
"Sep 12, 2019","157.43","157.12","159.17","156.36","686.37K","1.50%"
"Sep 11, 2019","155.11","155.02","156.19","153.03","1.18M","-0.01%"
"Sep 10, 2019","155.12","159.17","159.44","153.69","1.13M","-3.17%"
"Sep 09, 2019","160.20","164.33","164.54","159.93","853.71K","-2.66%"
"Sep 06, 2019","164.58","163.97","164.97","163.55","572.20K","0.64%"
"Sep 05, 2019","163.54","164.06","164.91","163.09","698.73K","0.43%"
"Sep 04, 2019","162.84","162.41","164.00","162.18","655.22K","0.68%"
"Sep 03, 2019","161.74","161.86","163.98","160.42","635.34K","0.12%"
