"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","182.76","181.42","183.26","181.42","357.11K","0.63%"
"Oct 22, 2019","181.61","187.43","188.51","181.28","515.96K","-3.11%"
"Oct 21, 2019","187.44","186.68","188.20","185.55","390.82K","1.04%"
"Oct 18, 2019","185.51","186.78","186.78","184.72","940.78K","-0.56%"
"Oct 17, 2019","186.55","185.57","187.10","184.87","473.75K","0.65%"
"Oct 16, 2019","185.34","186.56","186.56","184.06","399.60K","-0.71%"
"Oct 15, 2019","186.66","185.53","187.60","181.26","362.31K","0.49%"
"Oct 14, 2019","185.75","185.86","187.07","184.84","408.59K","-0.40%"
"Oct 11, 2019","186.49","187.41","188.75","186.00","511.88K","0.51%"
"Oct 10, 2019","185.55","184.02","185.92","182.35","487.61K","0.83%"
"Oct 09, 2019","184.03","182.74","184.84","182.30","480.34K","1.70%"
"Oct 08, 2019","180.96","182.14","183.59","179.79","753.51K","-1.35%"
"Oct 07, 2019","183.44","184.35","184.89","183.11","646.52K","-0.49%"
"Oct 04, 2019","184.34","181.82","184.80","181.51","560.32K","1.62%"
"Oct 03, 2019","181.41","177.87","181.79","177.03","1.05M","1.94%"
"Oct 02, 2019","177.95","182.59","182.83","177.33","870.85K","-3.26%"
"Oct 01, 2019","183.95","187.58","189.00","183.79","744.13K","-2.48%"
"Sep 30, 2019","188.63","187.84","189.96","186.95","601.82K","0.74%"
"Sep 27, 2019","187.25","192.01","193.20","185.96","521.29K","-2.06%"
"Sep 26, 2019","191.19","189.38","192.00","189.14","483.70K","0.66%"
"Sep 25, 2019","189.93","186.12","190.93","185.39","562.64K","1.69%"
"Sep 24, 2019","186.78","190.70","191.49","186.09","547.26K","-1.60%"
"Sep 23, 2019","189.82","189.65","190.62","188.51","439.92K","-0.46%"
"Sep 20, 2019","190.69","190.53","192.63","189.67","837.38K","-0.21%"
"Sep 19, 2019","191.09","190.70","192.75","190.47","684.31K","0.63%"
"Sep 18, 2019","189.90","190.48","191.00","187.30","795.04K","-0.68%"
"Sep 17, 2019","191.20","189.18","191.42","188.53","744.16K","0.87%"
"Sep 16, 2019","189.55","187.99","190.14","186.28","761.35K","0.43%"
"Sep 13, 2019","188.74","190.80","191.91","188.14","1.03M","-1.28%"
"Sep 12, 2019","191.18","191.08","194.66","190.58","746.59K","0.23%"
"Sep 11, 2019","190.75","196.28","196.64","190.16","1.14M","-3.03%"
"Sep 10, 2019","196.71","200.43","200.43","194.90","675.17K","-2.56%"
"Sep 09, 2019","201.88","208.02","208.12","200.46","582.78K","-2.74%"
"Sep 06, 2019","207.57","207.92","209.75","206.25","431.91K","0.48%"
"Sep 05, 2019","206.58","205.00","206.83","204.11","655.72K","1.50%"
"Sep 04, 2019","203.53","202.66","203.87","201.99","579.62K","0.68%"
"Sep 03, 2019","202.15","202.55","204.52","200.26","537.26K","-0.83%"
"Aug 30, 2019","203.85","206.79","206.95","202.99","530.25K","-1.02%"
"Aug 29, 2019","205.96","206.06","207.93","205.82","318.45K","1.07%"
"Aug 28, 2019","203.78","202.69","204.71","201.25","293.68K","-0.00%"
"Aug 27, 2019","203.79","204.69","206.00","202.09","525.53K","0.39%"
"Aug 26, 2019","202.99","202.38","203.68","201.60","378.78K","1.23%"
"Aug 23, 2019","200.52","204.37","207.14","199.55","517.99K","-2.28%"
"Aug 22, 2019","205.20","208.46","209.02","203.06","406.78K","-1.38%"
"Aug 21, 2019","208.07","209.18","209.80","207.16","521.92K","0.58%"
"Aug 20, 2019","206.88","206.82","208.92","205.72","505.19K","-0.01%"
"Aug 19, 2019","206.90","208.12","208.76","206.36","403.73K","0.93%"
"Aug 16, 2019","205.00","205.59","206.55","204.27","380.72K","0.79%"
