"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","190.51","190.46","192.42","186.60","1.56M","-0.29%"
"Oct 22, 2019","191.06","186.91","194.75","186.19","4.44M","4.10%"
"Oct 21, 2019","183.53","177.23","184.81","174.82","1.29M","4.14%"
"Oct 18, 2019","176.23","180.25","180.25","175.38","1.12M","-0.84%"
"Oct 17, 2019","177.72","177.80","180.05","177.50","1.17M","0.93%"
"Oct 16, 2019","176.09","175.32","177.20","173.62","814.89K","-0.03%"
"Oct 15, 2019","176.14","174.36","176.98","174.02","762.59K","1.47%"
"Oct 14, 2019","173.59","172.32","175.25","172.32","579.63K","0.68%"
"Oct 11, 2019","172.41","171.44","174.72","171.13","869.93K","1.29%"
"Oct 10, 2019","170.22","168.42","170.37","167.62","800.40K","0.88%"
"Oct 09, 2019","168.73","170.87","171.99","168.55","797.28K","-0.48%"
"Oct 08, 2019","169.55","170.47","171.89","167.60","1.02M","-1.45%"
"Oct 07, 2019","172.05","171.55","172.76","169.27","934.99K","-0.21%"
"Oct 04, 2019","172.42","170.89","172.92","170.52","879.76K","1.13%"
"Oct 03, 2019","170.50","166.06","170.64","166.06","1.14M","2.27%"
"Oct 02, 2019","166.71","167.69","168.52","165.23","1.50M","-0.52%"
"Oct 01, 2019","167.58","169.24","170.11","166.52","954.64K","-1.09%"
"Sep 30, 2019","169.42","169.55","171.29","167.61","1.47M","1.61%"
"Sep 27, 2019","166.74","170.29","170.54","165.53","1.21M","-1.66%"
"Sep 26, 2019","169.55","172.05","172.05","167.43","1.60M","-1.14%"
"Sep 25, 2019","171.50","172.31","173.49","170.56","956.07K","-0.59%"
"Sep 24, 2019","172.52","176.32","177.78","171.03","778.45K","-1.91%"
"Sep 23, 2019","175.88","178.23","179.00","175.77","825.03K","-1.26%"
"Sep 20, 2019","178.12","177.01","179.55","175.58","1.77M","1.12%"
"Sep 19, 2019","176.14","174.48","176.70","173.60","784.80K","0.93%"
"Sep 18, 2019","174.52","176.01","176.50","171.96","1.19M","-0.84%"
"Sep 17, 2019","176.00","173.02","177.82","173.02","1.17M","-0.87%"
"Sep 16, 2019","177.55","173.89","178.09","173.13","959.00K","1.49%"
"Sep 13, 2019","174.94","173.16","175.79","172.45","1.22M","1.44%"
"Sep 12, 2019","172.45","174.39","175.45","172.00","874.48K","-0.38%"
"Sep 11, 2019","173.11","171.19","173.61","170.90","1.19M","1.23%"
"Sep 10, 2019","171.01","174.03","174.14","166.65","1.85M","-2.17%"
"Sep 09, 2019","174.81","181.09","181.28","174.45","1.18M","-3.60%"
"Sep 06, 2019","181.33","180.35","182.15","179.33","979.38K","0.82%"
"Sep 05, 2019","179.86","178.18","180.05","177.02","868.71K","1.71%"
"Sep 04, 2019","176.83","179.73","179.75","173.56","1.00M","-1.05%"
"Sep 03, 2019","178.70","180.55","181.57","177.57","1.03M","-0.73%"
"Aug 30, 2019","180.02","180.26","181.20","178.76","892.91K","0.58%"
"Aug 29, 2019","178.98","179.30","180.50","178.14","680.33K","0.36%"
"Aug 28, 2019","178.34","177.47","180.71","170.54","1.68M","0.05%"
"Aug 27, 2019","178.25","181.99","182.92","177.27","940.10K","-1.32%"
"Aug 26, 2019","180.64","180.82","182.38","179.56","829.52K","0.26%"
"Aug 23, 2019","180.18","184.36","186.78","179.24","1.20M","-2.20%"
"Aug 22, 2019","184.24","186.76","187.62","181.48","1.03M","-1.16%"
"Aug 21, 2019","186.40","185.86","187.30","184.60","575.53K","1.46%"
"Aug 20, 2019","183.72","187.04","188.44","182.90","1.00M","-1.80%"
"Aug 19, 2019","187.09","186.24","187.71","185.88","963.23K","1.16%"
"Aug 16, 2019","184.94","183.08","185.75","180.84","1.33M","2.11%"
"Aug 15, 2019","181.12","180.01","182.04","178.37","829.13K","0.89%"
"Aug 14, 2019","179.53","181.77","183.57","178.85","1.41M","-2.38%"
"Aug 13, 2019","183.91","178.36","185.54","178.04","1.26M","2.26%"
"Aug 12, 2019","179.84","182.06","183.14","179.12","1.16M","-1.72%"
"Aug 09, 2019","182.98","182.94","184.07","179.39","1.28M","0.02%"
"Aug 08, 2019","182.94","175.59","183.11","175.59","1.64M","4.15%"
"Aug 07, 2019","175.65","175.11","176.47","172.48","940.96K","-0.73%"
"Aug 06, 2019","176.94","174.23","177.05","173.64","1.29M","0.79%"
"Aug 05, 2019","175.56","176.44","177.14","173.92","1.71M","-1.59%"
"Aug 02, 2019","178.39","177.78","180.97","177.06","1.81M","-0.50%"
"Aug 01, 2019","179.29","173.42","181.30","170.13","3.13M","7.60%"
"Jul 31, 2019","166.62","168.79","170.21","165.66","1.46M","-1.72%"
"Jul 30, 2019","169.54","165.74","171.10","165.52","2.34M","1.99%"
"Jul 29, 2019","166.23","167.21","167.51","165.27","1.37M","-0.36%"
"Jul 26, 2019","166.83","170.18","171.13","165.85","1.64M","-1.61%"
"Jul 25, 2019","169.56","172.22","172.51","169.02","1.78M","-2.18%"
"Jul 24, 2019","173.34","175.00","175.00","172.31","1.14M","-1.08%"
"Jul 23, 2019","175.24","174.43","176.36","173.40","828.43K","0.67%"
"Jul 22, 2019","174.08","173.34","174.57","172.41","1.12M","-0.03%"
"Jul 19, 2019","174.13","179.15","179.15","174.04","1.12M","-2.22%"
"Jul 18, 2019","178.09","176.92","178.58","176.38","853.49K","0.54%"
"Jul 17, 2019","177.14","176.93","179.24","176.33","773.11K","0.56%"
"Jul 16, 2019","176.16","176.47","177.93","175.58","619.96K","-0.12%"
"Jul 15, 2019","176.37","176.16","178.08","174.70","1.06M","0.33%"
"Jul 12, 2019","175.79","176.06","176.27","173.95","1.00M","-0.12%"
"Jul 11, 2019","176.01","178.81","178.86","172.74","1.26M","-1.54%"
"Jul 10, 2019","178.76","179.00","179.75","175.53","766.56K","0.17%"
"Jul 09, 2019","178.46","175.62","178.63","174.78","714.73K","0.97%"
"Jul 08, 2019","176.75","177.76","177.76","174.18","818.90K","-0.89%"
"Jul 05, 2019","178.34","179.45","183.24","177.41","878.88K","-2.68%"
"Jul 03, 2019","183.26","180.25","183.45","178.54","571.59K","2.08%"
"Jul 02, 2019","179.53","181.54","181.54","178.88","819.62K","-1.27%"
"Jul 01, 2019","181.84","185.07","185.14","180.81","1.11M","-0.84%"
"Jun 28, 2019","183.38","179.74","184.99","178.75","1.60M","2.69%"
"Jun 27, 2019","178.58","178.00","179.24","176.68","731.48K","0.52%"
"Jun 26, 2019","177.66","180.11","181.03","177.13","768.71K","-1.38%"
"Jun 25, 2019","180.15","181.64","183.10","179.49","960.08K","-0.48%"
"Jun 24, 2019","181.02","184.56","184.98","180.55","764.04K","-1.60%"
"Jun 21, 2019","183.97","183.34","184.45","180.76","1.84M","0.99%"
"Jun 20, 2019","182.17","183.52","186.33","181.21","1.22M","0.23%"
"Jun 19, 2019","181.75","178.52","182.14","177.00","1.54M","2.14%"
"Jun 18, 2019","177.94","175.97","178.90","174.80","1.52M","2.39%"
"Jun 17, 2019","173.78","171.17","174.14","171.17","955.60K","2.09%"
"Jun 14, 2019","170.22","168.90","170.99","167.94","806.08K","0.79%"
"Jun 13, 2019","168.89","171.17","171.95","167.84","951.63K","-1.02%"
"Jun 12, 2019","170.63","172.60","173.47","169.26","1.44M","-0.80%"
"Jun 11, 2019","172.00","174.08","174.88","171.75","1.44M","-0.49%"
"Jun 10, 2019","172.84","173.29","174.12","171.51","1.03M","-0.39%"
