"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","54.56","53.78","54.68","53.57","4.68M","-1.37%"
"Oct 22, 2019","55.32","54.88","55.51","54.52","3.84M","1.34%"
"Oct 21, 2019","54.59","55.15","55.50","54.28","5.20M","-1.28%"
"Oct 18, 2019","55.30","56.02","56.17","55.27","4.68M","-1.14%"
"Oct 17, 2019","55.94","54.98","56.10","54.78","4.83M","2.34%"
"Oct 16, 2019","54.66","54.48","55.20","54.26","2.98M","0.26%"
"Oct 15, 2019","54.52","53.76","54.85","53.73","3.40M","1.58%"
"Oct 14, 2019","53.67","53.74","53.96","53.17","2.54M","-0.59%"
"Oct 11, 2019","53.99","53.45","54.60","53.45","4.80M","2.00%"
"Oct 10, 2019","52.93","52.24","53.27","52.24","3.36M","1.63%"
"Oct 09, 2019","52.08","52.61","52.73","52.02","4.75M","-0.02%"
"Oct 08, 2019","52.09","52.35","52.75","51.86","4.70M","-1.27%"
"Oct 07, 2019","52.76","52.83","53.12","52.57","4.49M","-0.40%"
"Oct 04, 2019","52.97","52.74","53.06","52.06","3.99M","0.70%"
"Oct 03, 2019","52.60","52.83","53.05","51.57","3.78M","-0.44%"
"Oct 02, 2019","52.83","54.53","54.62","52.73","5.02M","-3.42%"
"Oct 01, 2019","54.70","55.26","55.87","54.28","4.84M","-1.10%"
"Sep 30, 2019","55.31","54.61","55.51","54.55","3.31M","1.65%"
"Sep 27, 2019","54.41","54.24","54.96","53.72","3.40M","0.61%"
"Sep 26, 2019","54.08","54.70","54.82","53.56","3.86M","-0.52%"
"Sep 25, 2019","54.36","53.69","54.56","53.32","3.41M","1.36%"
"Sep 24, 2019","53.63","54.67","54.76","53.23","5.43M","-1.27%"
"Sep 23, 2019","54.32","54.94","55.09","53.78","4.19M","-1.24%"
"Sep 20, 2019","55.00","54.39","55.94","54.26","11.24M","0.79%"
"Sep 19, 2019","54.57","54.64","55.04","54.44","4.41M","0.29%"
"Sep 18, 2019","54.41","54.64","54.73","53.92","3.95M","-0.78%"
"Sep 17, 2019","54.84","55.34","55.34","54.22","4.86M","-0.90%"
"Sep 16, 2019","55.34","55.35","55.70","55.06","3.66M","-1.16%"
"Sep 13, 2019","55.99","55.95","56.44","55.30","3.87M","0.77%"
"Sep 12, 2019","55.56","58.00","58.00","55.26","6.77M","-4.31%"
"Sep 11, 2019","58.06","57.34","58.10","56.83","6.99M","2.07%"
"Sep 10, 2019","56.88","55.57","57.00","55.46","6.93M","2.32%"
"Sep 09, 2019","55.59","52.65","55.70","52.65","9.42M","5.76%"
"Sep 06, 2019","52.56","52.67","52.80","52.15","2.57M","0.44%"
"Sep 05, 2019","52.33","51.80","52.77","51.80","3.81M","1.75%"
"Sep 04, 2019","51.43","50.73","51.62","50.73","4.70M","1.98%"
"Sep 03, 2019","50.43","51.25","51.32","50.04","3.98M","-1.48%"
"Aug 30, 2019","51.19","50.68","51.19","50.45","5.19M","1.57%"
"Aug 29, 2019","50.40","50.34","50.82","50.22","3.27M","0.90%"
"Aug 28, 2019","49.95","49.26","49.99","49.03","2.62M","1.01%"
"Aug 27, 2019","49.45","50.44","50.52","49.34","5.05M","-1.18%"
"Aug 26, 2019","50.04","49.98","50.13","49.56","3.65M","1.46%"
"Aug 23, 2019","49.32","50.54","51.02","49.14","5.95M","-3.20%"
"Aug 22, 2019","50.95","51.15","51.40","50.67","3.77M","0.10%"
"Aug 21, 2019","50.90","51.04","51.67","50.78","2.96M","0.45%"
"Aug 20, 2019","50.67","51.21","51.53","50.63","3.31M","-0.96%"
"Aug 19, 2019","51.16","50.63","51.44","50.61","5.13M","1.35%"
"Aug 16, 2019","50.48","49.63","50.74","49.50","4.58M","2.41%"
"Aug 15, 2019","49.29","50.80","50.81","49.12","6.30M","-2.22%"
"Aug 14, 2019","50.41","52.44","52.44","50.36","6.19M","-5.01%"
"Aug 13, 2019","53.07","51.94","53.90","51.51","5.27M","2.06%"
"Aug 12, 2019","52.00","52.78","52.89","51.67","3.73M","-1.50%"
"Aug 09, 2019","52.79","52.82","53.05","52.33","2.92M","-0.43%"
"Aug 08, 2019","53.02","52.48","53.03","52.35","3.40M","1.03%"
"Aug 07, 2019","52.48","51.04","52.61","50.09","6.26M","2.00%"
"Aug 06, 2019","51.45","52.00","52.25","50.79","6.74M","-0.81%"
"Aug 05, 2019","51.87","53.47","53.59","51.66","6.75M","-3.37%"
"Aug 02, 2019","53.68","54.19","54.35","53.07","4.52M","-0.72%"
"Aug 01, 2019","54.07","54.60","55.77","53.90","5.92M","-0.77%"
"Jul 31, 2019","54.49","55.28","55.45","53.79","6.64M","-1.64%"
"Jul 30, 2019","55.40","54.99","55.65","54.61","2.77M","0.51%"
"Jul 29, 2019","55.12","55.09","55.54","54.97","2.79M","0.13%"
"Jul 26, 2019","55.05","54.86","55.14","54.58","3.01M","0.53%"
"Jul 25, 2019","54.76","55.20","55.25","54.50","3.07M","-0.80%"
"Jul 24, 2019","55.20","54.64","55.21","54.26","4.00M","1.01%"
"Jul 23, 2019","54.65","54.14","54.88","53.74","4.58M","1.32%"
"Jul 22, 2019","53.94","54.66","54.66","53.66","3.95M","-0.92%"
"Jul 19, 2019","54.44","54.86","55.11","54.37","3.64M","-0.69%"
"Jul 18, 2019","54.82","54.30","54.96","53.82","4.25M","0.55%"
"Jul 17, 2019","54.52","55.69","55.80","54.26","5.19M","-2.31%"
"Jul 16, 2019","55.81","56.08","56.15","55.69","3.66M","-0.14%"
"Jul 15, 2019","55.89","55.96","56.16","55.74","3.58M","0.27%"
"Jul 12, 2019","55.74","56.25","56.26","55.56","3.83M","0.22%"
"Jul 11, 2019","55.62","56.56","56.95","55.29","7.16M","0.09%"
"Jul 10, 2019","55.57","55.78","56.15","55.40","5.22M","0.13%"
"Jul 09, 2019","55.50","55.35","55.78","55.13","3.52M","0.13%"
"Jul 08, 2019","55.43","55.17","55.52","54.88","3.82M","0.43%"
"Jul 05, 2019","55.19","55.11","55.56","54.75","4.12M","0.00%"
"Jul 03, 2019","55.19","55.07","55.50","54.85","3.99M","0.42%"
"Jul 02, 2019","54.96","54.70","55.15","54.19","5.11M","0.57%"
"Jul 01, 2019","54.65","55.36","55.68","54.32","5.73M","-0.04%"
"Jun 28, 2019","54.67","54.47","54.79","53.85","10.40M","0.28%"
"Jun 27, 2019","54.52","53.70","55.19","53.50","12.14M","4.09%"
