"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","57.65","58.05","58.05","56.90","3.50M","-2.06%"
"Oct 22, 2019","58.86","58.71","59.90","58.71","3.13M","0.44%"
"Oct 21, 2019","58.60","58.59","59.06","58.28","2.22M","0.81%"
"Oct 18, 2019","58.13","59.08","59.21","57.26","3.32M","-2.50%"
"Oct 17, 2019","59.62","60.09","60.09","58.71","3.11M","0.27%"
"Oct 16, 2019","59.46","60.94","61.09","59.34","2.73M","-2.24%"
"Oct 15, 2019","60.82","59.31","60.94","59.26","3.62M","2.60%"
"Oct 14, 2019","59.28","59.61","60.23","58.80","3.76M","1.59%"
"Oct 11, 2019","58.35","58.54","59.28","58.01","2.62M","1.76%"
"Oct 10, 2019","57.34","56.40","57.82","56.13","2.38M","1.43%"
"Oct 09, 2019","56.53","56.27","56.97","55.93","2.26M","1.82%"
"Oct 08, 2019","55.52","57.10","57.30","55.40","4.42M","-4.26%"
"Oct 07, 2019","57.99","58.29","58.75","57.93","2.51M","-0.99%"
"Oct 04, 2019","58.57","58.15","58.74","57.97","2.46M","1.37%"
"Oct 03, 2019","57.78","56.57","57.82","55.48","4.24M","1.69%"
"Oct 02, 2019","56.82","57.81","57.94","56.15","5.60M","-3.02%"
"Oct 01, 2019","58.59","60.06","61.11","58.37","3.20M","-1.76%"
"Sep 30, 2019","59.64","60.34","60.44","58.83","3.82M","-1.41%"
"Sep 27, 2019","60.49","61.44","62.50","60.18","5.76M","-2.12%"
"Sep 26, 2019","61.80","61.37","62.50","60.88","4.49M","1.23%"
"Sep 25, 2019","61.05","59.69","62.05","59.46","6.30M","2.47%"
"Sep 24, 2019","59.58","61.20","61.42","59.37","3.95M","-2.31%"
"Sep 23, 2019","60.99","61.08","61.73","60.64","3.17M","0.51%"
"Sep 20, 2019","60.68","63.39","63.39","60.59","8.86M","-3.14%"
"Sep 19, 2019","62.65","63.69","63.88","62.07","4.12M","-1.43%"
"Sep 18, 2019","63.56","63.94","63.99","62.11","3.24M","-0.55%"
"Sep 17, 2019","63.91","62.94","64.02","62.65","2.84M","1.46%"
"Sep 16, 2019","62.99","63.71","63.72","62.56","4.59M","-2.49%"
"Sep 13, 2019","64.60","64.32","65.31","64.31","2.94M","-0.15%"
"Sep 12, 2019","64.70","64.52","65.16","64.04","3.44M","0.62%"
"Sep 11, 2019","64.30","62.91","64.88","62.70","5.01M","3.26%"
"Sep 10, 2019","62.27","62.37","62.87","61.72","3.66M","-0.76%"
"Sep 09, 2019","62.75","62.12","63.17","62.01","3.57M","0.82%"
"Sep 06, 2019","62.24","62.10","62.84","61.68","4.45M","0.47%"
"Sep 05, 2019","61.95","60.51","62.21","60.24","5.84M","4.42%"
"Sep 04, 2019","59.33","58.86","61.33","58.86","6.30M","3.24%"
"Sep 03, 2019","57.47","56.63","57.84","56.11","4.52M","0.35%"
"Aug 30, 2019","57.27","55.59","57.41","55.59","4.79M","3.98%"
"Aug 29, 2019","55.08","54.40","55.74","54.34","3.20M","3.07%"
"Aug 28, 2019","53.44","52.65","53.63","51.84","3.32M","1.48%"
"Aug 27, 2019","52.66","55.14","55.30","52.60","3.50M","-3.62%"
"Aug 26, 2019","54.64","55.49","55.76","54.34","2.16M","0.02%"
"Aug 23, 2019","54.63","56.12","56.94","54.47","3.71M","-4.06%"
"Aug 22, 2019","56.94","56.62","57.29","56.12","2.45M","1.05%"
"Aug 21, 2019","56.35","56.91","57.53","56.20","2.36M","0.28%"
"Aug 20, 2019","56.19","57.12","57.28","55.66","3.56M","-1.85%"
"Aug 19, 2019","57.25","56.64","57.67","56.22","5.10M","3.73%"
"Aug 16, 2019","55.19","54.68","55.83","54.68","3.62M","2.09%"
"Aug 15, 2019","54.06","54.55","54.70","53.45","2.88M","-0.68%"
