"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","184.77","188.39","188.39","184.44","550.10K","-2.12%"
"Oct 22, 2019","188.78","189.63","191.07","188.55","528.56K","-0.67%"
"Oct 21, 2019","190.05","189.05","190.25","187.96","534.92K","1.21%"
"Oct 18, 2019","187.77","187.51","188.11","186.69","619.71K","-0.06%"
"Oct 17, 2019","187.89","188.89","189.63","187.75","548.03K","-0.37%"
"Oct 16, 2019","188.59","187.47","188.97","187.00","539.61K","0.31%"
"Oct 15, 2019","188.00","188.55","188.90","187.93","364.00K","0.19%"
"Oct 14, 2019","187.64","188.08","192.01","187.30","608.43K","-0.24%"
"Oct 11, 2019","188.10","189.78","191.69","187.93","645.29K","0.22%"
"Oct 10, 2019","187.69","186.81","189.11","185.54","459.38K","0.80%"
"Oct 09, 2019","186.20","185.83","186.88","183.66","494.06K","1.00%"
"Oct 08, 2019","184.36","186.09","186.69","177.60","571.96K","-1.72%"
"Oct 07, 2019","187.59","187.82","188.73","186.61","461.86K","-0.56%"
"Oct 04, 2019","188.65","185.05","189.44","185.05","578.52K","1.98%"
"Oct 03, 2019","184.99","184.47","185.96","182.22","444.35K","0.42%"
"Oct 02, 2019","184.21","187.37","187.62","182.85","773.42K","-1.98%"
"Oct 01, 2019","187.93","194.34","197.71","187.74","542.01K","-2.61%"
"Sep 30, 2019","192.97","193.99","197.00","192.37","531.89K","0.14%"
"Sep 27, 2019","192.70","197.82","198.02","192.66","551.53K","-2.69%"
"Sep 26, 2019","198.02","196.41","198.58","195.20","450.12K","0.62%"
"Sep 25, 2019","196.80","196.80","197.45","196.01","451.17K","-0.25%"
"Sep 24, 2019","197.30","198.14","199.59","196.02","627.76K","-0.05%"
"Sep 23, 2019","197.40","195.42","197.75","195.02","395.63K","0.52%"
"Sep 20, 2019","196.37","197.63","199.21","195.00","745.64K","-0.92%"
"Sep 19, 2019","198.20","198.15","199.87","197.85","325.92K","-0.25%"
"Sep 18, 2019","198.69","198.38","198.91","195.55","448.01K","0.03%"
"Sep 17, 2019","198.64","194.87","199.30","194.87","673.78K","1.86%"
"Sep 16, 2019","195.01","192.98","195.16","192.76","389.04K","0.16%"
"Sep 13, 2019","194.70","195.15","196.90","193.35","401.27K","0.01%"
"Sep 12, 2019","194.69","192.48","195.51","192.48","418.64K","1.54%"
"Sep 11, 2019","191.74","191.42","192.50","190.15","462.63K","1.08%"
"Sep 10, 2019","189.69","195.63","195.63","186.89","726.76K","-2.99%"
"Sep 09, 2019","195.53","198.35","198.99","195.22","486.46K","-1.12%"
"Sep 06, 2019","197.75","198.23","198.95","197.23","369.41K","0.03%"
"Sep 05, 2019","197.69","199.06","199.64","196.97","343.29K","0.60%"
"Sep 04, 2019","196.52","194.28","197.01","194.28","461.58K","0.44%"
"Sep 03, 2019","195.66","197.30","197.98","194.72","501.65K","-1.17%"
"Aug 30, 2019","197.97","196.66","198.47","196.42","649.58K","1.26%"
"Aug 29, 2019","195.50","194.18","195.78","193.39","370.42K","1.66%"
"Aug 28, 2019","192.31","190.74","192.69","184.71","432.54K","0.55%"
"Aug 27, 2019","191.26","193.09","193.59","190.89","357.86K","-0.39%"
"Aug 26, 2019","192.00","190.74","192.06","189.32","365.01K","1.47%"
"Aug 23, 2019","189.21","193.42","194.95","188.05","601.85K","-2.62%"
"Aug 22, 2019","194.30","195.00","195.60","191.99","312.76K","0.28%"
"Aug 21, 2019","193.75","194.76","197.52","192.55","368.50K","0.20%"
"Aug 20, 2019","193.37","196.87","197.38","192.78","447.36K","-2.07%"
"Aug 19, 2019","197.46","197.14","198.47","195.67","562.05K","1.50%"
"Aug 16, 2019","194.55","192.13","194.77","190.87","1.53M","2.15%"
"Aug 15, 2019","190.46","190.26","191.29","188.60","950.43K","0.06%"
"Aug 14, 2019","190.34","193.04","194.36","189.68","1.01M","-2.39%"
"Aug 13, 2019","195.00","192.94","196.79","192.29","1.48M","1.07%"
"Aug 12, 2019","192.93","196.73","197.06","192.56","550.50K","-2.18%"
"Aug 09, 2019","197.22","198.00","199.74","196.29","853.72K","-0.50%"
"Aug 08, 2019","198.22","194.26","198.31","193.28","644.46K","2.52%"
"Aug 07, 2019","193.35","190.93","194.26","189.52","506.56K","-0.41%"
"Aug 06, 2019","194.15","188.71","194.59","188.24","684.35K","2.88%"
"Aug 05, 2019","188.71","194.08","196.34","186.69","1.16M","-3.41%"
"Aug 02, 2019","195.38","196.20","197.59","192.06","670.95K","-0.34%"
"Aug 01, 2019","196.04","195.90","200.93","195.40","608.56K","0.42%"
"Jul 31, 2019","195.22","199.48","200.90","192.91","1.41M","-1.15%"
"Jul 30, 2019","197.49","199.09","199.35","196.97","538.16K","-0.94%"
"Jul 29, 2019","199.36","198.63","199.90","197.64","595.19K","0.09%"
"Jul 26, 2019","199.18","196.99","199.49","196.09","480.66K","1.29%"
"Jul 25, 2019","196.65","197.31","198.19","196.30","432.98K","-0.27%"
"Jul 24, 2019","197.18","196.06","197.34","194.92","365.32K","0.27%"
"Jul 23, 2019","196.64","196.52","197.06","194.80","273.87K","0.51%"
"Jul 22, 2019","195.64","196.07","197.38","195.41","324.97K","-0.12%"
"Jul 19, 2019","195.88","198.25","198.25","195.84","402.26K","-0.92%"
"Jul 18, 2019","197.70","195.58","198.06","195.03","423.94K","1.37%"
"Jul 17, 2019","195.03","197.15","197.61","195.03","405.15K","-1.25%"
"Jul 16, 2019","197.49","196.98","198.35","195.66","383.04K","-0.09%"
"Jul 15, 2019","197.67","197.01","197.70","196.23","345.96K","0.64%"
"Jul 12, 2019","196.42","196.52","196.80","194.93","506.18K","0.06%"
"Jul 11, 2019","196.30","197.18","197.45","194.49","535.40K","0.35%"
"Jul 10, 2019","195.61","195.58","196.69","194.47","414.33K","0.18%"
"Jul 09, 2019","195.25","193.68","195.44","192.96","405.56K","0.30%"
"Jul 08, 2019","194.67","194.50","195.22","194.11","358.81K","-0.60%"
"Jul 05, 2019","195.84","195.17","196.29","193.13","311.62K","0.05%"
"Jul 03, 2019","195.74","195.48","195.74","194.16","329.00K","0.30%"
"Jul 02, 2019","195.15","194.00","195.82","193.60","431.94K","0.62%"
"Jul 01, 2019","193.94","193.81","194.20","191.81","436.17K","1.25%"
"Jun 28, 2019","191.54","189.89","192.79","188.69","682.76K","1.37%"
"Jun 27, 2019","188.95","186.29","189.25","186.29","455.54K","1.12%"
"Jun 26, 2019","186.85","192.23","192.23","185.55","709.40K","-2.84%"
"Jun 25, 2019","192.31","192.05","192.96","191.77","469.52K","0.28%"
"Jun 24, 2019","191.77","191.38","192.64","191.30","351.76K","-0.03%"
"Jun 21, 2019","191.83","191.75","192.90","190.38","1.13M","0.11%"
"Jun 20, 2019","191.62","191.06","192.06","189.60","609.18K","1.00%"
"Jun 19, 2019","189.73","188.37","190.38","188.20","451.10K","0.86%"
"Jun 18, 2019","188.11","189.07","190.66","187.33","454.05K","-0.09%"
"Jun 17, 2019","188.28","190.05","190.72","187.75","381.75K","-1.08%"
"Jun 14, 2019","190.33","189.00","190.56","187.72","364.15K","0.86%"
"Jun 13, 2019","188.71","188.58","188.78","186.85","356.47K","0.32%"
"Jun 12, 2019","188.11","187.96","189.34","187.63","418.53K","-0.11%"
"Jun 11, 2019","188.31","188.89","189.54","187.65","427.49K","0.00%"
"Jun 10, 2019","188.31","187.39","188.82","186.94","729.08K","0.77%"
"Jun 07, 2019","186.88","183.97","188.17","183.97","583.75K","1.86%"
"Jun 06, 2019","183.47","183.55","183.83","181.35","321.16K","0.34%"
