"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","115.86","115.00","116.93","114.11","883.20K","0.14%"
"Oct 22, 2019","115.70","117.56","117.88","115.08","991.28K","-1.00%"
"Oct 21, 2019","116.87","114.25","117.03","114.19","1.36M","2.95%"
"Oct 18, 2019","113.52","113.81","115.06","113.09","1.19M","-0.46%"
"Oct 17, 2019","114.05","114.74","114.83","113.39","1.86M","0.19%"
"Oct 16, 2019","113.83","113.47","115.75","113.43","1.48M","-0.91%"
"Oct 15, 2019","114.88","112.55","116.22","111.66","1.70M","2.28%"
"Oct 14, 2019","112.32","112.56","112.88","110.89","1.08M","-0.41%"
"Oct 11, 2019","112.78","107.98","114.15","107.76","3.21M","6.34%"
"Oct 10, 2019","106.06","104.42","108.30","103.60","1.72M","1.57%"
"Oct 09, 2019","104.42","104.08","105.00","103.03","1.57M","1.80%"
"Oct 08, 2019","102.57","105.64","106.07","102.44","2.50M","-4.16%"
"Oct 07, 2019","107.02","107.69","107.85","104.37","2.45M","-1.74%"
"Oct 04, 2019","108.91","110.03","110.03","107.20","1.68M","-0.86%"
"Oct 03, 2019","109.86","110.81","111.00","107.36","1.52M","-1.20%"
"Oct 02, 2019","111.19","109.34","111.76","108.16","1.96M","1.16%"
"Oct 01, 2019","109.92","108.91","112.02","108.72","1.64M","1.10%"
"Sep 30, 2019","108.72","108.84","109.63","108.00","1.52M","0.43%"
"Sep 27, 2019","108.25","111.27","113.48","107.50","2.48M","-1.90%"
"Sep 26, 2019","110.35","110.50","111.88","109.56","1.77M","-0.59%"
"Sep 25, 2019","111.00","109.37","111.54","108.10","1.53M","1.50%"
"Sep 24, 2019","109.36","111.81","112.95","109.17","3.32M","1.16%"
"Sep 23, 2019","108.11","107.14","109.00","106.75","2.11M","-0.59%"
"Sep 20, 2019","108.75","111.57","112.48","108.35","1.93M","-2.45%"
"Sep 19, 2019","111.48","113.00","113.75","110.62","2.16M","-1.26%"
"Sep 18, 2019","112.90","113.80","114.63","111.67","1.88M","-0.90%"
"Sep 17, 2019","113.93","114.96","115.20","112.60","3.45M","-2.29%"
"Sep 16, 2019","116.60","115.54","117.30","115.12","1.46M","-0.73%"
"Sep 13, 2019","117.46","118.54","120.23","117.19","1.70M","0.32%"
"Sep 12, 2019","117.08","114.66","119.68","114.08","2.73M","2.41%"
"Sep 11, 2019","114.32","117.56","117.99","112.42","2.56M","-2.20%"
"Sep 10, 2019","116.89","114.49","116.90","113.81","1.56M","1.95%"
"Sep 09, 2019","114.65","112.17","115.63","112.17","2.06M","2.88%"
"Sep 06, 2019","111.44","111.37","112.43","109.51","1.93M","0.10%"
"Sep 05, 2019","111.33","110.91","112.68","110.39","1.86M","2.21%"
"Sep 04, 2019","108.92","109.05","109.94","107.30","2.06M","3.41%"
"Sep 03, 2019","105.33","106.56","107.22","104.27","2.39M","-4.38%"
"Aug 30, 2019","110.15","107.40","110.83","106.66","2.69M","3.60%"
"Aug 29, 2019","106.32","107.01","107.91","105.46","5.54M","0.95%"
"Aug 28, 2019","105.32","103.87","105.80","103.00","3.77M","1.12%"
"Aug 27, 2019","104.15","106.68","106.68","103.91","1.98M","-1.20%"
"Aug 26, 2019","105.41","107.03","107.43","104.88","1.67M","0.08%"
"Aug 23, 2019","105.33","108.98","109.50","103.70","2.70M","-4.36%"
"Aug 22, 2019","110.13","114.00","114.95","110.04","1.64M","-3.02%"
"Aug 21, 2019","113.56","115.50","115.78","112.75","1.71M","-0.39%"
"Aug 20, 2019","114.01","111.75","114.73","110.67","1.70M","1.42%"
"Aug 19, 2019","112.41","109.70","113.33","109.49","3.18M","6.50%"
"Aug 16, 2019","105.55","104.17","106.13","103.50","2.17M","2.98%"
"Aug 15, 2019","102.50","104.75","105.62","102.03","1.98M","-1.75%"
"Aug 14, 2019","104.33","106.43","107.33","103.55","2.69M","-4.22%"
"Aug 13, 2019","108.93","106.55","113.26","106.55","2.62M","1.75%"
"Aug 12, 2019","107.06","107.51","108.18","106.55","2.18M","-1.70%"
"Aug 09, 2019","108.91","110.37","110.89","106.55","1.60M","-2.33%"
"Aug 08, 2019","111.51","110.92","112.50","109.63","1.58M","1.46%"
"Aug 07, 2019","109.90","108.16","111.13","105.20","3.35M","-1.76%"
"Aug 06, 2019","111.87","112.24","114.34","109.46","3.49M","0.69%"
"Aug 05, 2019","111.10","114.57","115.15","110.26","3.58M","-7.18%"
"Aug 02, 2019","119.70","121.25","123.27","118.25","2.43M","-2.62%"
"Aug 01, 2019","122.92","129.74","131.54","121.06","3.42M","-5.50%"
"Jul 31, 2019","130.07","135.61","135.61","127.26","2.31M","-4.09%"
"Jul 30, 2019","135.61","136.48","137.19","135.00","1.29M","-1.92%"
"Jul 29, 2019","138.27","139.31","139.37","135.70","857.89K","-0.83%"
"Jul 26, 2019","139.43","139.13","140.34","138.16","909.66K","1.12%"
"Jul 25, 2019","137.89","139.21","139.67","137.13","1.08M","-2.12%"
"Jul 24, 2019","140.88","137.74","141.29","136.88","1.36M","1.89%"
"Jul 23, 2019","138.27","135.15","138.56","134.59","1.35M","3.33%"
"Jul 22, 2019","133.81","134.06","135.16","132.54","1.11M","-0.62%"
"Jul 19, 2019","134.65","135.89","137.01","134.56","984.13K","-0.33%"
"Jul 18, 2019","135.09","135.44","135.73","134.37","865.70K","-0.59%"
"Jul 17, 2019","135.89","139.25","139.33","135.45","1.29M","-2.48%"
"Jul 16, 2019","139.34","138.00","141.26","136.85","2.26M","1.14%"
"Jul 15, 2019","137.77","133.93","137.99","133.42","2.65M","2.90%"
"Jul 12, 2019","133.89","130.85","134.31","130.70","1.69M","2.48%"
"Jul 11, 2019","130.65","130.60","132.68","129.36","1.82M","0.24%"
"Jul 10, 2019","130.34","134.55","135.48","127.86","3.01M","-2.53%"
"Jul 09, 2019","133.73","132.25","134.15","131.47","1.73M","0.50%"
"Jul 08, 2019","133.06","132.16","133.10","131.19","1.22M","0.19%"
"Jul 05, 2019","132.81","132.78","133.43","131.05","1.14M","-0.43%"
"Jul 03, 2019","133.38","133.32","134.53","132.18","1.15M","0.31%"
"Jul 02, 2019","132.97","130.01","133.00","129.69","1.43M","1.31%"
"Jul 01, 2019","131.25","130.39","134.98","129.37","3.58M","5.86%"
"Jun 28, 2019","123.99","123.60","124.40","122.39","1.85M","0.03%"
"Jun 27, 2019","123.95","122.37","124.15","121.60","1.34M","2.22%"
"Jun 26, 2019","121.26","120.56","122.23","120.10","1.64M","1.93%"
"Jun 25, 2019","118.96","121.70","121.75","118.80","1.92M","-2.51%"
"Jun 24, 2019","122.02","122.82","123.54","121.31","1.26M","0.43%"
"Jun 21, 2019","121.50","121.56","123.34","120.58","1.43M","-0.78%"
"Jun 20, 2019","122.45","125.75","127.98","121.77","1.38M","0.11%"
"Jun 19, 2019","122.32","121.99","122.93","120.50","1.58M","0.26%"
"Jun 18, 2019","122.00","117.64","122.75","117.15","2.54M","5.46%"
"Jun 17, 2019","115.68","116.20","116.88","113.67","1.04M","0.06%"
"Jun 14, 2019","115.61","116.78","116.85","114.64","1.53M","-1.37%"
"Jun 13, 2019","117.21","115.35","117.70","115.01","1.62M","2.15%"
"Jun 12, 2019","114.74","116.85","116.85","114.01","1.09M","-2.89%"
"Jun 11, 2019","118.15","118.19","119.49","117.02","1.95M","1.27%"
"Jun 10, 2019","116.67","113.08","118.41","112.85","2.72M","5.09%"
"Jun 07, 2019","111.02","110.38","113.25","110.28","1.55M","0.95%"
"Jun 06, 2019","109.98","110.23","111.13","108.07","1.59M","-0.43%"
"Jun 05, 2019","110.46","113.60","114.25","108.05","2.11M","-2.14%"
"Jun 04, 2019","112.87","105.22","112.92","104.87","3.24M","8.98%"
"Jun 03, 2019","103.57","106.62","106.62","102.82","2.66M","-3.50%"
"May 31, 2019","107.33","109.47","109.75","106.46","2.89M","-3.68%"
"May 30, 2019","111.43","114.59","115.93","110.78","2.04M","-2.59%"
"May 29, 2019","114.39","112.90","115.07","112.45","985.34K","0.25%"
"May 28, 2019","114.11","114.68","116.39","113.98","1.47M","-0.08%"
"May 24, 2019","114.20","114.92","115.63","112.68","1.84M","0.30%"
"May 23, 2019","113.86","117.83","117.83","112.71","3.53M","-5.05%"
"May 22, 2019","119.92","119.93","120.71","118.84","1.51M","-0.79%"
"May 21, 2019","120.87","120.17","121.32","119.89","1.28M","0.57%"
"May 20, 2019","120.18","119.39","120.37","116.81","2.75M","-1.02%"
"May 17, 2019","121.42","125.27","125.94","121.22","2.62M","-4.63%"
"May 16, 2019","127.31","125.15","127.62","124.80","1.89M","1.64%"
"May 15, 2019","125.25","122.00","125.52","121.03","2.13M","1.57%"
"May 14, 2019","123.32","123.09","124.75","121.96","1.95M","1.19%"
"May 13, 2019","121.87","125.94","126.47","120.77","4.12M","-6.17%"
"May 10, 2019","129.89","129.34","133.24","126.25","5.30M","-4.72%"
"May 09, 2019","136.33","135.03","136.75","130.97","2.55M","0.27%"
"May 08, 2019","135.96","135.66","139.42","135.09","2.35M","0.19%"
"May 07, 2019","135.70","139.73","141.00","133.64","2.85M","-4.00%"
"May 06, 2019","141.36","142.07","142.40","138.37","2.60M","-4.07%"
"May 03, 2019","147.36","146.19","148.00","145.56","1.10M","1.24%"
"May 02, 2019","145.56","145.74","147.50","143.41","1.24M","-0.40%"
"May 01, 2019","146.14","148.79","150.21","145.86","2.49M","1.17%"
"Apr 30, 2019","144.45","146.63","147.33","143.24","2.53M","-2.90%"
"Apr 29, 2019","148.77","151.36","151.50","148.25","1.33M","-0.35%"
