"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","64.44","64.28","64.59","64.11","3.36M","0.36%"
"Oct 22, 2019","64.21","64.59","64.63","64.08","2.61M","-0.12%"
"Oct 21, 2019","64.29","64.16","64.31","63.66","1.81M","0.44%"
"Oct 18, 2019","64.01","63.80","64.14","63.33","2.55M","0.53%"
"Oct 17, 2019","63.67","63.42","63.89","63.29","1.79M","0.28%"
"Oct 16, 2019","63.49","63.19","63.52","62.80","2.20M","0.54%"
"Oct 15, 2019","63.15","63.32","63.63","62.87","2.03M","-0.21%"
"Oct 14, 2019","63.28","63.71","63.77","63.05","2.30M","-0.08%"
"Oct 11, 2019","63.33","63.83","63.93","63.04","2.63M","-0.97%"
"Oct 10, 2019","63.95","63.50","64.17","63.13","2.09M","0.05%"
"Oct 09, 2019","63.92","63.66","64.19","63.56","1.93M","0.52%"
"Oct 08, 2019","63.59","64.28","64.34","63.56","2.81M","-1.07%"
"Oct 07, 2019","64.28","64.40","64.49","64.02","2.73M","-0.54%"
"Oct 04, 2019","64.63","63.56","64.81","63.55","2.72M","1.83%"
"Oct 03, 2019","63.47","63.64","63.64","62.92","4.27M","0.21%"
"Oct 02, 2019","63.34","64.97","65.00","62.99","7.81M","-2.48%"
"Oct 01, 2019","64.95","64.75","65.05","64.18","3.45M","0.09%"
"Sep 30, 2019","64.89","64.86","65.51","64.69","3.95M","-0.72%"
"Sep 27, 2019","65.36","65.66","65.84","64.85","2.43M","-0.32%"
"Sep 26, 2019","65.57","65.38","65.83","64.96","3.93M","0.80%"
"Sep 25, 2019","65.05","65.35","65.45","64.70","3.64M","-0.58%"
"Sep 24, 2019","65.43","64.94","65.68","64.69","5.66M","1.28%"
"Sep 23, 2019","64.60","64.81","65.02","64.44","2.88M","-0.03%"
"Sep 20, 2019","64.62","64.12","64.78","64.02","6.07M","0.56%"
"Sep 19, 2019","64.26","64.04","64.33","63.89","1.78M","0.39%"
"Sep 18, 2019","64.01","64.01","64.16","63.41","3.65M","0.44%"
"Sep 17, 2019","63.73","63.23","63.93","63.05","4.73M","1.43%"
"Sep 16, 2019","62.83","62.71","63.02","62.28","5.34M","0.35%"
"Sep 13, 2019","62.61","62.90","63.29","62.52","2.84M","-0.73%"
"Sep 12, 2019","63.07","63.42","63.85","62.71","3.59M","-0.28%"
"Sep 11, 2019","63.25","62.95","63.73","62.48","3.42M","0.41%"
"Sep 10, 2019","62.99","63.16","63.41","62.19","4.75M","-0.63%"
"Sep 09, 2019","63.39","64.66","64.71","63.31","4.85M","-2.18%"
"Sep 06, 2019","64.80","65.38","65.52","64.52","2.47M","-0.54%"
"Sep 05, 2019","65.15","65.55","65.66","64.76","2.74M","-1.02%"
"Sep 04, 2019","65.82","65.81","66.05","65.36","2.52M","0.44%"
"Sep 03, 2019","65.53","64.34","65.57","64.22","2.93M","2.04%"
"Aug 30, 2019","64.22","64.74","64.91","64.06","3.19M","-0.59%"
"Aug 29, 2019","64.60","64.23","64.63","63.66","2.72M","0.97%"
"Aug 28, 2019","63.98","64.14","64.53","63.71","3.15M","-0.02%"
"Aug 27, 2019","63.99","63.80","64.41","63.75","3.00M","0.71%"
"Aug 26, 2019","63.54","62.65","63.55","62.46","2.58M","1.75%"
"Aug 23, 2019","62.45","63.37","63.68","62.04","3.87M","-1.31%"
"Aug 22, 2019","63.28","63.01","63.41","62.68","3.16M","0.44%"
"Aug 21, 2019","63.00","62.34","63.03","62.20","2.24M","0.96%"
"Aug 20, 2019","62.40","62.35","62.51","61.77","4.63M","0.40%"
"Aug 19, 2019","62.15","61.83","62.52","61.58","2.54M","0.57%"
"Aug 16, 2019","61.80","61.61","62.17","61.46","2.29M","0.44%"
"Aug 15, 2019","61.53","60.74","61.70","60.50","3.67M","1.23%"
"Aug 14, 2019","60.78","61.53","61.64","60.57","3.55M","-0.98%"
"Aug 13, 2019","61.38","61.39","61.70","60.86","2.60M","-0.24%"
"Aug 12, 2019","61.53","61.94","62.02","61.21","2.65M","-0.39%"
"Aug 09, 2019","61.77","61.61","62.02","61.37","2.28M","0.21%"
"Aug 08, 2019","61.64","60.82","61.80","60.09","2.76M","1.40%"
"Aug 07, 2019","60.79","60.52","61.14","59.50","4.01M","0.60%"
