"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","93.83","94.56","95.36","93.31","6.09M","-2.24%"
"Oct 22, 2019","95.98","95.25","96.83","95.25","4.48M","0.97%"
"Oct 21, 2019","95.06","95.16","95.49","94.36","2.57M","0.76%"
"Oct 18, 2019","94.34","94.94","95.50","93.09","2.23M","-0.60%"
"Oct 17, 2019","94.91","95.55","96.50","94.50","2.07M","0.30%"
"Oct 16, 2019","94.63","96.79","97.52","94.09","3.45M","-2.41%"
"Oct 15, 2019","96.97","96.24","97.45","95.89","2.80M","1.08%"
"Oct 14, 2019","95.93","98.31","98.86","95.56","3.81M","-0.30%"
"Oct 11, 2019","96.22","95.12","98.15","94.93","4.91M","3.67%"
"Oct 10, 2019","92.81","90.61","94.32","90.50","2.88M","2.58%"
"Oct 09, 2019","90.48","90.70","91.21","89.67","3.25M","1.36%"
"Oct 08, 2019","89.27","92.00","92.01","89.22","4.06M","-3.63%"
"Oct 07, 2019","92.63","94.01","94.36","92.53","2.54M","-1.71%"
"Oct 04, 2019","94.24","92.49","94.47","91.90","3.28M","1.89%"
"Oct 03, 2019","92.49","92.77","92.80","90.89","3.78M","0.04%"
"Oct 02, 2019","92.45","91.63","93.62","90.47","4.70M","0.45%"
"Oct 01, 2019","92.04","94.30","94.66","90.87","7.64M","-4.03%"
"Sep 30, 2019","95.90","96.27","96.56","95.23","4.02M","-0.05%"
"Sep 27, 2019","95.95","96.95","98.29","95.24","2.50M","-1.33%"
"Sep 26, 2019","97.24","97.73","98.16","96.11","2.44M","0.05%"
"Sep 25, 2019","97.19","96.12","97.52","94.39","3.56M","1.11%"
"Sep 24, 2019","96.12","98.98","99.48","95.40","3.47M","-1.97%"
"Sep 23, 2019","98.05","96.14","99.32","95.16","4.12M","1.55%"
"Sep 20, 2019","96.55","98.81","99.93","95.39","11.13M","-6.82%"
"Sep 19, 2019","103.62","105.00","106.25","103.27","2.03M","-1.24%"
"Sep 18, 2019","104.92","104.46","105.06","102.79","2.09M","0.61%"
"Sep 17, 2019","104.28","103.83","104.51","103.20","1.88M","-0.11%"
"Sep 16, 2019","104.39","103.90","104.64","102.67","1.38M","-0.81%"
"Sep 13, 2019","105.24","106.02","106.63","105.11","1.59M","0.20%"
"Sep 12, 2019","105.03","106.53","107.79","104.75","3.84M","-0.02%"
"Sep 11, 2019","105.05","106.77","107.40","104.03","3.14M","-1.56%"
"Sep 10, 2019","106.72","105.45","106.95","104.06","2.49M","1.15%"
"Sep 09, 2019","105.51","106.50","107.14","104.98","1.87M","-0.41%"
"Sep 06, 2019","105.94","105.42","107.37","105.21","2.65M","0.61%"
"Sep 05, 2019","105.30","104.24","107.50","104.24","3.45M","2.94%"
"Sep 04, 2019","102.29","101.95","103.03","101.61","2.00M","1.88%"
"Sep 03, 2019","100.40","102.66","103.18","99.81","3.22M","-3.52%"
"Aug 30, 2019","104.06","104.43","105.19","103.29","1.94M","0.59%"
"Aug 29, 2019","103.45","102.43","105.11","102.43","3.29M","2.60%"
"Aug 28, 2019","100.83","99.96","100.91","98.64","2.25M","0.61%"
"Aug 27, 2019","100.22","102.55","103.05","99.80","2.75M","-1.54%"
