"Name","Symbol","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"Activision Blizzard","ATVI","54.80","55.33","54.35","+0.28","+0.51%","3.30M","15:59:59"
"Adobe","ADBE","261.32","265.52","259.57","+0.23","+0.09%","3.00M","15:59:59"
"ADP","ADP","160.04","160.76","159.09","+0.55","+0.34%","1.71M","15:59:59"
"Alexion","ALXN","106.63","107.04","100.95","+7.35","+7.40%","4.37M","15:59:59"
"Align","ALGN","217.50","218.17","210.73","+3.90","+1.83%","1.15M","15:59:59"
"Alphabet A","GOOGL","1,257.63","1,258.04","1,240.21","+16.43","+1.32%","1.03M","15:59:59"
"Alphabet C","GOOG","1,259.13","1,259.89","1,242.36","+16.33","+1.31%","907.72K","15:59:59"
"Amazon.com","AMZN","1,762.17","1,770.05","1,742.00","-3.56","-0.20%","2.08M","15:59:59"
"AMD","AMD","31.36","31.65","30.83","-0.15","-0.48%","26.36M","15:59:59"
"American Airlines","AAL","28.29","28.40","27.88","+0.03","+0.11%","8.38M","15:59:59"
"Amgen","AMGN","203.32","205.89","203.04","-1.51","-0.74%","1.71M","15:59:59"
"Analog Devices","ADI","105.57","107.75","104.58","-5.31","-4.79%","4.50M","15:59:59"
"Apple","AAPL","243.18","243.24","241.22","+3.22","+1.34%","18.89M","15:59:59"
"Applied Materials","AMAT","50.53","51.45","50.24","-1.45","-2.79%","8.43M","15:59:59"
"ASML  ADR","ASML","257.66","257.95","253.59","+2.37","+0.93%","915.24K","15:59:59"
"Autodesk","ADSK","141.94","142.80","138.62","+1.87","+1.33%","1.64M","15:59:59"
"Baidu","BIDU","104.15","104.40","102.51","+0.52","+0.50%","1.38M","15:59:59"
"Biogen","BIIB","278.82","286.67","275.66","-3.05","-1.08%","5.49M","15:59:59"
"Biomarin Pharma","BMRN","69.01","70.36","67.10","+1.28","+1.89%","3.04M","15:59:59"
"Booking","BKNG","2,032.23","2,034.68","2,016.21","+9.18","+0.45%","175.93K","15:59:59"
"Broadcom","AVGO","280.32","283.54","278.76","-7.14","-2.48%","2.07M","15:59:59"
"Cadence Design","CDNS","63.47","64.37","62.41","+0.53","+0.84%","1.85M","15:59:59"
"Celgene","CELG","104.99","104.99","104.06","+0.29","+0.28%","2.86M","15:59:59"
"Cerner","CERN","67.57","67.68","66.77","+0.10","+0.15%","2.16M","15:59:59"
"Charter Communications","CHTR","435.56","439.39","434.12","-1.67","-0.38%","910.56K","15:59:59"
"Check Point Software","CHKP","107.34","107.58","106.14","+0.70","+0.66%","1.23M","15:59:59"
"Cintas","CTAS","268.13","268.17","264.69","+2.00","+0.75%","282.20K","15:59:59"
"Cisco","CSCO","47.05","47.70","46.84","-0.50","-1.05%","14.75M","15:59:59"
"Citrix Systems","CTXS","103.67","104.59","103.35","-0.43","-0.41%","1.99M","15:59:59"
"Cognizant A","CTSH","60.35","60.37","59.59","+0.45","+0.75%","2.53M","15:59:59"
"Comcast","CMCSA","45.72","46.19","45.47","-0.05","-0.11%","21.69M","15:59:59"
"Costco","COST","297.32","300.05","297.18","-2.65","-0.88%","1.79M","15:59:59"
"CSX","CSX","72.26","72.43","71.55","-0.03","-0.04%","4.63M","15:59:59"
"Ctrip.Com","CTRP","30.29","31.07","30.15","-0.38","-1.24%","3.01M","15:59:59"
"Dollar Tree","DLTR","116.63","118.10","115.51","-1.81","-1.53%","1.36M","15:59:59"
